time,open,high,low,close,date,time_str
1738825365000,1738825367836,1738825368856,1738825367836,1738825368856,2025-02-06,07:02:45.000Z
1738825370000,1738825370879,1738825370879,1738825370879,1738825370879,2025-02-06,07:02:50.000Z
1738825370000,1738825372593,1738825374620,1738825372593,1738825374620,2025-02-06,07:02:50.000Z
1738825375000,1738825375635,1738825375635,1738825375635,1738825375635,2025-02-06,07:02:55.000Z
1738825375000,1738825376661,1738825379748,1738825376661,1738825379748,2025-02-06,07:02:55.000Z
1738825380000,1738825381009,1738825384331,1738825381009,1738825384331,2025-02-06,07:03:00.000Z
1738825385000,1738825385696,1738825385696,1738825385696,1738825385696,2025-02-06,07:03:05.000Z
1738825385000,1738825387140,1738825389331,1738825387140,1738825389331,2025-02-06,07:03:05.000Z
1738825390000,1738825390952,1738825390952,1738825390952,1738825390952,2025-02-06,07:03:10.000Z
1738825390000,1738825391962,1738825394729,1738825391962,1738825394729,2025-02-06,07:03:10.000Z
1738825395000,1738825396333,1738825399359,1738825396333,1738825399359,2025-02-06,07:03:15.000Z
1738825400000,1738825400372,1738825400372,1738825400372,1738825400372,2025-02-06,07:03:20.000Z
1738825400000,1738825401393,1738825404456,1738825401393,1738825404456,2025-02-06,07:03:20.000Z
1738825405000,1738825405461,1738825405461,1738825405461,1738825405461,2025-02-06,07:03:25.000Z
1738825405000,1738825406972,1738825409200,1738825406972,1738825409200,2025-02-06,07:03:25.000Z
1738825410000,1738825411460,1738825414569,1738825411460,1738825414569,2025-02-06,07:03:30.000Z
1738825415000,1738825416196,1738825419311,1738825416196,1738825419311,2025-02-06,07:03:35.000Z
1738825420000,1738825421221,1738825424319,1738825421221,1738825424319,2025-02-06,07:03:40.000Z
1738825425000,1738825425499,1738825425499,1738825425499,1738825425499,2025-02-06,07:03:45.000Z
1738825425000,1738825426518,1738825429555,1738825426518,1738825429555,2025-02-06,07:03:45.000Z
1738825430000,1738825430561,1738825430561,1738825430561,1738825430561,2025-02-06,07:03:50.000Z
1738825430000,1738825432891,1738825434078,1738825432891,1738825434078,2025-02-06,07:03:50.000Z
1738825435000,1738825435106,1738825435106,1738825435106,1738825435106,2025-02-06,07:03:55.000Z
1738825435000,1738825436158,1738825439498,1738825436158,1738825439498,2025-02-06,07:03:55.000Z
1738825440000,1738825440820,1738825440820,1738825440820,1738825440820,2025-02-06,07:04:00.000Z
1738825440000,1738825442692,1738825444324,1738825442692,1738825444324,2025-02-06,07:04:00.000Z
1738825445000,1738825445359,1738825445359,1738825445359,1738825445359,2025-02-06,07:04:05.000Z
1738825445000,1738825446424,1738825449004,1738825446424,1738825449004,2025-02-06,07:04:05.000Z
1738825450000,1738825450008,1738825450008,1738825450008,1738825450008,2025-02-06,07:04:10.000Z
1738825450000,1738825451031,1738825453694,1738825451031,1738825453694,2025-02-06,07:04:10.000Z
1738825455000,1738825455083,1738825455083,1738825455083,1738825455083,2025-02-06,07:04:15.000Z
1738825455000,1738825456099,1738825459454,1738825456099,1738825459454,2025-02-06,07:04:15.000Z
1738825460000,1738825461088,1738825464322,1738825461088,1738825464322,2025-02-06,07:04:20.000Z
1738825465000,1738825465341,1738825465341,1738825465341,1738825465341,2025-02-06,07:04:25.000Z
1738825465000,1738825469007,1738825469007,1738825469007,1738825469007,2025-02-06,07:04:25.000Z
1738825470000,1738825470876,1738825470876,1738825470876,1738825470876,2025-02-06,07:04:30.000Z
1738825470000,1738825472631,1738825473988,1738825472631,1738825473988,2025-02-06,07:04:30.000Z
1738825475000,1738825475000,1738825475000,1738825475000,1738825475000,2025-02-06,07:04:35.000Z
1738825475000,1738825478697,1738825478697,1738825478697,1738825478697,2025-02-06,07:04:35.000Z
1738825480000,1738825480231,1738825480231,1738825480231,1738825480231,2025-02-06,07:04:40.000Z
1738825480000,1738825482970,1738825483984,1738825482970,1738825483984,2025-02-06,07:04:40.000Z
1738825485000,1738825485738,1738825485738,1738825485738,1738825485738,2025-02-06,07:04:45.000Z
1738825485000,1738825487469,1738825489491,1738825487469,1738825489491,2025-02-06,07:04:45.000Z
1738825490000,1738825490669,1738825490669,1738825490669,1738825490669,2025-02-06,07:04:50.000Z
1738825490000,1738825492948,1738825494976,1738825492948,1738825494976,2025-02-06,07:04:50.000Z
1738825495000,1738825497333,1738825499324,1738825497333,1738825499324,2025-02-06,07:04:55.000Z
1738825500000,1738825501948,1738825502968,1738825501948,1738825502968,2025-02-06,07:05:00.000Z
1738825505000,1738825505950,1738825505950,1738825505950,1738825505950,2025-02-06,07:05:05.000Z
1738825510000,1738825510852,1738825510852,1738825510852,1738825510852,2025-02-06,07:05:10.000Z
1738825510000,1738825513739,1738825513739,1738825513739,1738825513739,2025-02-06,07:05:10.000Z
1738825515000,1738825515837,1738825515837,1738825515837,1738825515837,2025-02-06,07:05:15.000Z
1738825515000,1738825519782,1738825519782,1738825519782,1738825519782,2025-02-06,07:05:15.000Z
1738825520000,1738825521828,1738825524581,1738825521828,1738825524581,2025-02-06,07:05:20.000Z
1738825525000,1738825525588,1738825525588,1738825525588,1738825525588,2025-02-06,07:05:25.000Z
1738825525000,1738825527028,1738825528949,1738825527028,1738825528949,2025-02-06,07:05:25.000Z
1738825530000,1738825530013,1738825530013,1738825530013,1738825530013,2025-02-06,07:05:30.000Z
1738825530000,1738825532049,1738825534651,1738825532049,1738825534651,2025-02-06,07:05:30.000Z
1738825535000,1738825535754,1738825535754,1738825535754,1738825535754,2025-02-06,07:05:35.000Z
1738825535000,1738825537319,1738825539353,1738825537319,1738825539353,2025-02-06,07:05:35.000Z
1738825540000,1738825540980,1738825540980,1738825540980,1738825540980,2025-02-06,07:05:40.000Z
1738825540000,1738825541991,1738825544007,1738825541991,1738825544007,2025-02-06,07:05:40.000Z
